,Genome,Contig,Nitrogenase Set,Position,Location,Group No,GTDB Taxonomy,ncbi_country,Isolation Source,NCBI Taxonomy,ncbi_taxonomy_unfiltered,Organism,Regulon,PredGrowthTemp
3288,RS_GCF_000020045.1,NC_010627.1,HDK,"490,491,492",517691-518572,Group 1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Paraburkholderia;s__Paraburkholderia phymatum,none,none,d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Paraburkholderia;s__Paraburkholderia phymatum,d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Paraburkholderia;s__Paraburkholderia phymatum;x__Paraburkholderia phymatum STM815,Paraburkholderia phymatum,,
3289,RS_GCF_000020365.1,NC_012108.1,HDKKN,"971,974,975,976,977",1106211-1107032,Group 2,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulforapulum;s__Desulforapulum autotrophicum,none,none,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulforapulum;s__Desulforapulum autotrophicum,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulforapulum;s__Desulforapulum autotrophicum;x__Desulforapulum autotrophicum HRM2,Desulforapulum autotrophicum,,
3290,RS_GCF_000020385.1,NC_010814.1,HDDK,"633,642,643,644",641024-643771,,d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Geobacterales;f__Pseudopelobacteraceae;g__Trichlorobacter;s__Trichlorobacter lovleyi,none,none,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Trichlorobacter;s__Trichlorobacter lovleyi,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Trichlorobacter;s__Trichlorobacter lovleyi;x__Trichlorobacter lovleyi SZ,Trichlorobacter lovleyi,,
3291,RS_GCF_000020465.1,NC_010803.1,HDDKEN,"688,689,690,691,692,695",749499-750773,,d__Bacteria;p__Bacteroidota;c__Chlorobiia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__Chlorobium limicola,none,none,d__Bacteria;p__Chlorobiota;c__Chlorobiia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__Chlorobium limicola,d__Bacteria;x__FCB group;x__Bacteroidota/Chlorobiota group;p__Chlorobiota;c__Chlorobiia;o__Chlorobiales;f__Chlorobiaceae;x__Chlorobium/Pelodictyon group;g__Chlorobium;s__Chlorobium limicola;x__Chlorobium limicola DSM 245,Chlorobium limicola,,
3292,RS_GCF_000020505.1,NC_011027.1,HDDKN,"1622,1625,1626,1627,1628",1770153-1770977,Group 2,d__Bacteria;p__Bacteroidota;c__Chlorobiia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobaculum;s__Chlorobaculum parvum_A,none,none,d__Bacteria;p__Chlorobiota;c__Chlorobiia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobaculum;s__Chlorobaculum parvum,d__Bacteria;x__FCB group;x__Bacteroidota/Chlorobiota group;p__Chlorobiota;c__Chlorobiia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobaculum;s__Chlorobaculum parvum;x__Chlorobaculum parvum NCIB 8327,Chlorobaculum parvum_A,,
3293,RS_GCF_000020525.1,NC_011026.1,HHDDKKENN,"1057,1058,1059,1060,1061,1064,1869,1872,1874",1214837-1216108,,d__Bacteria;p__Bacteroidota;c__Chlorobiia;o__Chlorobiales;f__Chloroherpetonaceae;g__Chloroherpeton;s__Chloroherpeton thalassium,none,none,d__Bacteria;p__Chlorobiota;c__Chlorobiia;o__Chlorobiales;f__Chloroherpetonaceae;g__Chloroherpeton;s__Chloroherpeton thalassium,d__Bacteria;x__FCB group;x__Bacteroidota/Chlorobiota group;p__Chlorobiota;c__Chlorobiia;o__Chlorobiales;f__Chloroherpetonaceae;g__Chloroherpeton;s__Chloroherpeton thalassium;x__Chloroherpeton thalassium ATCC 35110,Chloroherpeton thalassium,,
3294,RS_GCF_000020625.1,NC_011059.1,HDKENN,"1621,1624,1625,1626,1627,1628",1771033-1771857,Group 2,d__Bacteria;p__Bacteroidota;c__Chlorobiia;o__Chlorobiales;f__Chlorobiaceae;g__Prosthecochloris;s__Prosthecochloris aestuarii,none,none,d__Bacteria;p__Chlorobiota;c__Chlorobiia;o__Chlorobiales;f__Chlorobiaceae;g__Prosthecochloris;s__Prosthecochloris aestuarii,d__Bacteria;x__FCB group;x__Bacteroidota/Chlorobiota group;p__Chlorobiota;c__Chlorobiia;o__Chlorobiales;f__Chlorobiaceae;g__Prosthecochloris;s__Prosthecochloris aestuarii;x__Prosthecochloris aestuarii DSM 271,Prosthecochloris aestuarii,,
3295,RS_GCF_000020645.1,NC_011060.1,HDDKN,"1961,1964,1965,1966,1967",2036852-2037676,Group 2,d__Bacteria;p__Bacteroidota;c__Chlorobiia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__Chlorobium phaeoclathratiforme,none,none,d__Bacteria;p__Chlorobiota;c__Chlorobiia;o__Chlorobiales;f__Chlorobiaceae;g__Pelodictyon;s__Pelodictyon phaeoclathratiforme,d__Bacteria;x__FCB group;x__Bacteroidota/Chlorobiota group;p__Chlorobiota;c__Chlorobiia;o__Chlorobiales;f__Chlorobiaceae;x__Chlorobium/Pelodictyon group;g__Pelodictyon;s__Pelodictyon phaeoclathratiforme;x__Pelodictyon phaeoclathratiforme BU-1,Chlorobium phaeoclathratiforme,,
3296,RS_GCF_000020725.1,NC_011146.1,HDDK,"2064,2065,2066,2067",2397398-2398267,Group 1,d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geomonas;s__Geomonas bemidjiensis,none,none,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Citrifermentans;s__Citrifermentans bemidjiense,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Citrifermentans;s__Citrifermentans bemidjiense;x__Citrifermentans bemidjiense Bem,Geomonas bemidjiensis,,
3297,RS_GCF_000020985.1,NC_011296.1,HDKE,"1642,1643,1644,1645",1642711-1645266,,d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__Thermodesulfovibrionaceae;g__Thermodesulfovibrio;s__Thermodesulfovibrio yellowstonii,none,none,d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__Thermodesulfovibrionaceae;g__Thermodesulfovibrio;s__Thermodesulfovibrio yellowstonii,d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__Thermodesulfovibrionaceae;g__Thermodesulfovibrio;s__Thermodesulfovibrio yellowstonii;x__Thermodesulfovibrio yellowstonii DSM 11347,Thermodesulfovibrio yellowstonii,,
3298,RS_GCF_000021325.1,NC_011365.1,HDKENN,"1571,1572,1573,1574,1575,1581",1741718-1743115,,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Gluconacetobacter;s__Gluconacetobacter diazotrophicus,none,none,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Gluconacetobacter;s__Gluconacetobacter diazotrophicus,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Gluconacetobacter;s__Gluconacetobacter diazotrophicus;x__Gluconacetobacter diazotrophicus PA1 5,Gluconacetobacter diazotrophicus,,
3299,RS_GCF_000021485.1,NC_011761.1,HDKEN,"1398,1399,1402,1403,1404",1313200-1314561,,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Acidithiobacillales;f__Acidithiobacillaceae;g__Acidithiobacillus;s__Acidithiobacillus ferrooxidans,none,none,d__Bacteria;p__Pseudomonadota;c__Acidithiobacillia;o__Acidithiobacillales;f__Acidithiobacillaceae;g__Acidithiobacillus;s__Acidithiobacillus ferrooxidans,d__Bacteria;p__Pseudomonadota;c__Acidithiobacillia;o__Acidithiobacillales;f__Acidithiobacillaceae;g__Acidithiobacillus;s__Acidithiobacillus ferrooxidans;x__Acidithiobacillus ferrooxidans ATCC 23270,Acidithiobacillus ferrooxidans,,
3300,RS_GCF_000021745.1,NC_011666.1,HDKEN,"3624,3625,3626,3627,3628",3990414-3991808,,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocella;s__Methylocella silvestris,none,none,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Beijerinckiaceae;g__Methylocella;s__Methylocella silvestris,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Beijerinckiaceae;g__Methylocella;s__Methylocella silvestris;x__Methylocella silvestris BL2,Methylocella silvestris,,
3301,RS_GCF_000021805.1,NC_011726.1,HDKEN,"1778,1779,1780,1781,1782",1870724-1871614,Group 1,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae_A;g__Rippkaea;s__Rippkaea orientalis,none,none,d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Chroococcales;f__Aphanothecaceae;g__Rippkaea;s__Rippkaea orientalis,d__Bacteria;x__Terrabacteria group;x__Cyanobacteriota/Melainabacteria group;p__Cyanobacteriota;c__Cyanophyceae;x__Oscillatoriophycideae;o__Chroococcales;f__Aphanothecaceae;g__Rippkaea;s__Rippkaea orientalis;x__Rippkaea orientalis PCC 8801,Rippkaea orientalis,,
3302,RS_GCF_000021825.1,NC_011729.1,HDDKNN,"2113,2114,2115,2116,2117,2121",2365649-2367001,,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae;g__Gloeothece;s__Gloeothece citriformis,none,none,d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Chroococcales;f__Aphanothecaceae;g__Gloeothece;s__Gloeothece citriformis,d__Bacteria;x__Terrabacteria group;x__Cyanobacteriota/Melainabacteria group;p__Cyanobacteriota;c__Cyanophyceae;x__Oscillatoriophycideae;o__Chroococcales;f__Aphanothecaceae;g__Gloeothece;s__Gloeothece citriformis;x__Gloeothece citriformis PCC 7424,Gloeothece citriformis,,
3303,RS_GCF_000021925.1,NC_011830.1,HDDKN,"1044,1045,1046,1047,1048",1143804-1144631,Group 1,d__Bacteria;p__Bacillota_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfitobacterium;s__Desulfitobacterium hafniense,none,none,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Desulfitobacteriaceae;g__Desulfitobacterium;s__Desulfitobacterium hafniense,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Desulfitobacteriaceae;g__Desulfitobacterium;s__Desulfitobacterium hafniense;x__Desulfitobacterium hafniense DCB-2,Desulfitobacterium hafniense,,
3304,RS_GCF_000021965.1,NC_011832.1,HDKKN,"558,559,560,561,564",547235-548605,,d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__Methanosphaerula;s__Methanosphaerula palustris,USA: New York,organically rich wetland,d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanosphaerula;s__Methanosphaerula palustris,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanosphaerula;s__Methanosphaerula palustris;x__Methanosphaerula palustris E1-9c,Methanosphaerula palustris,,
3305,RS_GCF_000022085.1,NC_011894.1,HDKEEN,"3946,3947,3948,3949,3950,3957",4065547-4066929,,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylobacterium;s__Methylobacterium nodulans,none,none,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Methylobacteriaceae;g__Methylobacterium;s__Methylobacterium nodulans,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Methylobacteriaceae;g__Methylobacterium;s__Methylobacterium nodulans;x__Methylobacterium nodulans ORS 2060,Methylobacterium nodulans,,
3306,RS_GCF_000022265.1,NC_011979.1,HDKE,"2573,2574,2576,2580",2825101-2825970,Group 1,d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geotalea;s__Geotalea daltonii,none,none,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geotalea;s__Geotalea daltonii,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geotalea;s__Geotalea daltonii;x__Geotalea daltonii FRC-32,Geotalea daltonii,,
3307,RS_GCF_000023025.1,NC_012997.1,HDK,"1364,1365,1366",1597309-1598187,Group 1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Cellvibrionaceae;g__Teredinibacter;s__Teredinibacter turnerae_B,none,none,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Cellvibrionales;f__Cellvibrionaceae;g__Teredinibacter;s__Teredinibacter turnerae,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Cellvibrionales;f__Cellvibrionaceae;g__Teredinibacter;s__Teredinibacter turnerae;x__Teredinibacter turnerae T7901,Teredinibacter turnerae_B,,
3308,RS_GCF_000023065.1,NC_012691.1,HDKEN,"659,660,661,664,665",736331-737218,Group 1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Tolumonas;s__Tolumonas auensis,Switzerland,sediment of freshwater lake,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__Tolumonas;s__Tolumonas auensis,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__Tolumonas;s__Tolumonas auensis;x__Tolumonas auensis DSM 9187,Tolumonas auensis,,
3309,RS_GCF_000023185.1,NC_012848.1,HDDKN,"282,283,284,285,286",308462-309349,Group 1,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Rhizobium;s__Rhizobium leguminosarum_J,none,none,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Rhizobium;s__Rhizobium leguminosarum,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;x__Rhizobium/Agrobacterium group;g__Rhizobium;s__Rhizobium leguminosarum;x__Rhizobium leguminosarum bv. trifolii;x__Rhizobium leguminosarum bv. trifolii WSM1325,Rhizobium leguminosarum_J,,
3310,RS_GCF_000023225.1,NC_013173.1,HDDKNN,"829,832,833,836,837,838",907343-908173,Group 2,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfomicrobiaceae;g__Desulfomicrobium;s__Desulfomicrobium baculatum,none,none,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfomicrobiaceae;g__Desulfomicrobium;s__Desulfomicrobium baculatum,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfomicrobiaceae;g__Desulfomicrobium;s__Desulfomicrobium baculatum;x__Desulfomicrobium baculatum DSM 4028,Desulfomicrobium baculatum,,
3311,RS_GCF_000023445.1,NC_012881.1,HDDKK,"440,441,445,446,449",479349-480707,,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Maridesulfovibrio;s__Maridesulfovibrio salexigens,none,none,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Maridesulfovibrio;s__Maridesulfovibrio salexigens,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Maridesulfovibrio;s__Maridesulfovibrio salexigens;x__Maridesulfovibrio salexigens DSM 2638,Maridesulfovibrio salexigens,,
3312,RS_GCF_000024205.1,NC_013216.1,HDKENN,"986,989,990,991,992,993",1045113-1045940,Group 2,d__Bacteria;p__Bacillota_B;c__Desulfotomaculia;o__Desulfotomaculales;f__Desulfofarciminaceae;g__Desulfofarcimen;s__Desulfofarcimen acetoxidans,Germany,none,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Peptococcaceae;g__Desulfofarcimen;s__Desulfofarcimen acetoxidans,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Peptococcaceae;g__Desulfofarcimen;s__Desulfofarcimen acetoxidans;x__Desulfofarcimen acetoxidans DSM 771,Desulfofarcimen acetoxidans,,
3313,RS_GCF_000024625.1,NC_013407.1,HDK,"1081,1084,1085",1059403-1060257,Group 3,d__Archaea;p__Methanobacteriota_A;c__Methanococci;o__Methanococcales;f__Methanocaldococcaceae;g__Methanocaldococcus;s__Methanocaldococcus vulcanius,none,none,d__Archaea;p__Euryarchaeota;c__Methanococci;o__Methanococcales;f__Methanocaldococcaceae;g__Methanocaldococcus;s__Methanocaldococcus vulcanius,d__Archaea;p__Euryarchaeota;x__Methanomada group;c__Methanococci;o__Methanococcales;f__Methanocaldococcaceae;g__Methanocaldococcus;s__Methanocaldococcus vulcanius;x__Methanocaldococcus vulcanius M7,Methanocaldococcus vulcanius,,
3314,RS_GCF_000025125.1,NC_013771.1,HDKEN,"565,566,567,568,569",694680-695543,Group 1,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae_A;g__Atelocyanobacterium;s__Atelocyanobacterium thalassa,none,flow cytometry enriched sample from station ALOHA,d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Chroococcales;f__Aphanothecaceae;g__Candidatus Atelocyanobacterium;s__Candidatus Atelocyanobacterium thalassa,d__Bacteria;x__Terrabacteria group;x__Cyanobacteriota/Melainabacteria group;p__Cyanobacteriota;c__Cyanophyceae;x__Oscillatoriophycideae;o__Chroococcales;f__Aphanothecaceae;g__Candidatus Atelocyanobacterium;s__Candidatus Atelocyanobacterium thalassa;x__Candidatus Atelocyanobacterium thalassa isolate ALOHA,Atelocyanobacterium thalassa,,
3315,RS_GCF_000025485.1,NC_013851.1,HDK,"1865,1866,1867",2156333-2157904,,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Thermochromatium;s__Thermochromatium vinosum,none,none,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Allochromatium;s__Allochromatium vinosum,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Allochromatium;s__Allochromatium vinosum;x__Allochromatium vinosum DSM 180,Thermochromatium vinosum,,
3316,RS_GCF_000025525.1,NC_013887.1,HDKK,"32,35,36,42",26352-27209,Group 3,d__Archaea;p__Methanobacteriota_A;c__Methanococci;o__Methanococcales;f__Methanocaldococcaceae;g__Methanocaldococcus;s__Methanocaldococcus sp000025525,none,none,d__Archaea;p__Euryarchaeota;c__Methanococci;o__Methanococcales;f__Methanocaldococcaceae;g__Methanocaldococcus;s__,d__Archaea;p__Euryarchaeota;x__Methanomada group;c__Methanococci;o__Methanococcales;f__Methanocaldococcaceae;g__Methanocaldococcus;x__unclassified Methanocaldococcus;s__Methanocaldococcus sp. FS406-22,Methanocaldococcus sp000025525,,
3317,RS_GCF_000025705.1,NC_013959.1,HDK,"878,879,880",871214-872092,Group 1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Sideroxyarcus;s__Sideroxyarcus lithotrophicus,USA,none,d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Nitrosomonadales;f__Gallionellaceae;g__Sideroxydans;s__Sideroxydans lithotrophicus,d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Nitrosomonadales;f__Gallionellaceae;g__Sideroxydans;s__Sideroxydans lithotrophicus;x__Sideroxydans lithotrophicus ES-1,Sideroxyarcus lithotrophicus,,
3318,RS_GCF_000025725.1,NC_013943.1,HDKENN,"1043,1044,1045,1047,1048,1052",1094846-1095718,Group 1,d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Denitrovibrionaceae;g__Denitrovibrio;s__Denitrovibrio acetiphilus,none,none,d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Geovibrionaceae;g__Denitrovibrio;s__Denitrovibrio acetiphilus,d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Geovibrionaceae;g__Denitrovibrio;s__Denitrovibrio acetiphilus;x__Denitrovibrio acetiphilus DSM 12809,Denitrovibrio acetiphilus,,
3319,RS_GCF_000025905.1,NC_014008.1,HDDKK,"2845,2846,2847,2848,2849",3442867-3444264,,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Coraliomargaritaceae;g__Coraliomargarita;s__Coraliomargarita akajimensis,none,none,d__Bacteria;p__Verrucomicrobiota;c__Opitutae;o__Puniceicoccales;f__Coraliomargaritaceae;g__Coraliomargarita;s__Coraliomargarita akajimensis,d__Bacteria;x__PVC group;p__Verrucomicrobiota;c__Opitutae;o__Puniceicoccales;f__Coraliomargaritaceae;g__Coraliomargarita;s__Coraliomargarita akajimensis;x__Coraliomargarita akajimensis DSM 45221,Coraliomargarita akajimensis,,
3320,RS_GCF_000026145.1,NC_009445.1,HDKEN,"5084,5085,5086,5087,5088",5621283-5622680,,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp000026145,none,none,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;s__,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;x__unclassified Bradyrhizobium;s__Bradyrhizobium sp. ORS 278,Bradyrhizobium sp000026145,,
3321,RS_GCF_000058485.1,NC_008278.1,HDKEN,"6018,6019,6020,6021,6022",7413996-7415792,,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Frankiaceae;g__Frankia;s__Frankia alni,none,none,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Frankiales;f__Frankiaceae;g__Frankia;s__Frankia alni,d__Bacteria;x__Terrabacteria group;p__Actinomycetota;c__Actinomycetes;o__Frankiales;f__Frankiaceae;g__Frankia;s__Frankia alni;x__Frankia alni ACN14a,Frankia alni,,
3322,RS_GCF_000063445.1,NC_009464.1,HDKKE,"1397,1398,1399,1400,1403",1385448-1386860,,d__Archaea;p__Halobacteriota;c__Methanocellia;o__Methanocellales;f__Methanocellaceae;g__Methanocella_A;s__Methanocella_A arvoryzae,none,none,d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanocellales;f__Methanocellaceae;g__Methanocella;s__Methanocella arvoryzae,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Methanomicrobia;o__Methanocellales;f__Methanocellaceae;g__Methanocella;s__Methanocella arvoryzae;x__Methanocella arvoryzae MRE50,Methanocella_A arvoryzae,,
3323,RS_GCF_000092245.1,NC_014166.1,HDK,"46,47,49",44533-46074,,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Arcobacter;s__Arcobacter nitrofigilis,Canada: Nova Scotia,roots,d__Bacteria;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Arcobacter;s__Arcobacter nitrofigilis,d__Bacteria;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Arcobacter;s__Arcobacter nitrofigilis;x__Arcobacter nitrofigilis DSM 7299,Arcobacter nitrofigilis,,
3324,RS_GCF_000092405.1,NC_014220.1,HDDK,"2142,2143,2144,2147",2160276-2161622,,d__Bacteria;p__Bacillota_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophothermaceae;g__Syntrophothermus;s__Syntrophothermus lipocalidus,none,anaerobic granular sludge; thermophilic UASB reactor,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Syntrophomonadaceae;g__Syntrophothermus;s__Syntrophothermus lipocalidus,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Syntrophomonadaceae;g__Syntrophothermus;s__Syntrophothermus lipocalidus;x__Syntrophothermus lipocalidus DSM 12680,Syntrophothermus lipocalidus,,
3325,RS_GCF_000143685.1,NC_014328.1,HDDKN,"462,465,466,467,468",526644-527462,Group 2,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_B;s__Clostridium_B ljungdahlii,none,chicken yard waste,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium ljungdahlii,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium ljungdahlii;x__Clostridium ljungdahlii DSM 13528,Clostridium_B ljungdahlii,,
3326,RS_GCF_000143965.1,NC_014365.1,HDDKN,"435,436,439,440,443",495223-496596,,d__Bacteria;p__Desulfobacterota;c__Desulfarculia;o__Desulfarculales;f__Desulfarculaceae;g__Desulfarculus;s__Desulfarculus baarsii,Germany,ditch mud,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfarculia;o__Desulfarculales;f__Desulfarculaceae;g__Desulfarculus;s__Desulfarculus baarsii,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfarculia;o__Desulfarculales;f__Desulfarculaceae;g__Desulfarculus;s__Desulfarculus baarsii;x__Desulfarculus baarsii DSM 2075,Desulfarculus baarsii,,
3327,RS_GCF_000143985.1,NC_014364.1,HDDKN,"2989,2990,2991,2992,2995",3216043-3217491,,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__DSM-16054;f__Sediminispirochaetaceae;g__Sediminispirochaeta;s__Sediminispirochaeta smaragdinae,Republic of the Congo,oil field,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Sediminispirochaeta;s__Sediminispirochaeta smaragdinae,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Sediminispirochaeta;s__Sediminispirochaeta smaragdinae;x__Sediminispirochaeta smaragdinae DSM 11293,Sediminispirochaeta smaragdinae,,
